Tempo,Corpos,Cores,Movimento,Complexidade
15.468909, 600, 2, 100,Quadratico
15.627118, 600, 2, 100,Quadratico
15.614735, 600, 2, 100,Quadratico
16.430331, 600, 2, 100,Quadratico
15.588851, 600, 2, 100,Quadratico
15.538331, 600, 2, 100,Quadratico
15.544243, 600, 2, 100,Quadratico
15.599671, 600, 2, 100,Quadratico
15.545136, 600, 2, 100,Quadratico
15.571623, 600, 2, 100,Quadratico
15.506111, 600, 2, 100,Quadratico
16.396733, 600, 2, 100,Quadratico
15.512718, 600, 2, 100,Quadratico
15.728896, 600, 2, 100,Quadratico
16.444713, 600, 2, 100,Quadratico
16.367655, 600, 2, 100,Quadratico
16.509102, 600, 2, 100,Quadratico
15.641401, 600, 2, 100,Quadratico
15.610944, 600, 2, 100,Quadratico
16.594661, 600, 2, 100,Quadratico
16.357782, 600, 2, 100,Quadratico
15.549553, 600, 2, 100,Quadratico
15.635928, 600, 2, 100,Quadratico
16.480736, 600, 2, 100,Quadratico
15.717941, 600, 2, 100,Quadratico
16.448807, 600, 2, 100,Quadratico
16.513632, 600, 2, 100,Quadratico
15.610664, 600, 2, 100,Quadratico
16.405598, 600, 2, 100,Quadratico
15.658978, 600, 2, 100,Quadratico
16.462609, 600, 2, 100,Quadratico
16.425267, 600, 2, 100,Quadratico
15.611925, 600, 2, 100,Quadratico
15.545012, 600, 2, 100,Quadratico
15.54332, 600, 2, 100,Quadratico
16.446699, 600, 2, 100,Quadratico
16.466323, 600, 2, 100,Quadratico
16.492486, 600, 2, 100,Quadratico
15.616423, 600, 2, 100,Quadratico
16.339084, 600, 2, 100,Quadratico
16.422219, 600, 2, 100,Quadratico
16.336964, 600, 2, 100,Quadratico
15.521385, 600, 2, 100,Quadratico
15.57428, 600, 2, 100,Quadratico
15.587724, 600, 2, 100,Quadratico
15.630795, 600, 2, 100,Quadratico
16.430965, 600, 2, 100,Quadratico
15.573163, 600, 2, 100,Quadratico
15.698496, 600, 2, 100,Quadratico
15.550647, 600, 2, 100,Quadratico
9.640167, 600, 4, 100,Quadratico
9.677619, 600, 4, 100,Quadratico
9.599717, 600, 4, 100,Quadratico
9.548594, 600, 4, 100,Quadratico
9.638198, 600, 4, 100,Quadratico
9.72532, 600, 4, 100,Quadratico
9.716928, 600, 4, 100,Quadratico
9.673642, 600, 4, 100,Quadratico
9.80355, 600, 4, 100,Quadratico
9.635747, 600, 4, 100,Quadratico
9.74252, 600, 4, 100,Quadratico
9.61389, 600, 4, 100,Quadratico
8.756997, 600, 4, 100,Quadratico
9.605299, 600, 4, 100,Quadratico
9.691325, 600, 4, 100,Quadratico
9.708522, 600, 4, 100,Quadratico
9.670727, 600, 4, 100,Quadratico
9.663129, 600, 4, 100,Quadratico
9.631077, 600, 4, 100,Quadratico
9.623236, 600, 4, 100,Quadratico
10.172072, 600, 4, 100,Quadratico
8.772339, 600, 4, 100,Quadratico
9.618507, 600, 4, 100,Quadratico
9.610974, 600, 4, 100,Quadratico
9.755368, 600, 4, 100,Quadratico
9.688239, 600, 4, 100,Quadratico
9.661607, 600, 4, 100,Quadratico
9.606459, 600, 4, 100,Quadratico
9.616151, 600, 4, 100,Quadratico
9.693138, 600, 4, 100,Quadratico
9.687381, 600, 4, 100,Quadratico
9.703886, 600, 4, 100,Quadratico
9.596636, 600, 4, 100,Quadratico
9.69763, 600, 4, 100,Quadratico
9.927655, 600, 4, 100,Quadratico
9.802198, 600, 4, 100,Quadratico
9.615734, 600, 4, 100,Quadratico
9.605538, 600, 4, 100,Quadratico
9.615735, 600, 4, 100,Quadratico
9.648715, 600, 4, 100,Quadratico
9.692879, 600, 4, 100,Quadratico
9.687804, 600, 4, 100,Quadratico
10.297616, 600, 4, 100,Quadratico
8.69789, 600, 4, 100,Quadratico
9.552409, 600, 4, 100,Quadratico
9.666937, 600, 4, 100,Quadratico
9.697905, 600, 4, 100,Quadratico
9.582115, 600, 4, 100,Quadratico
8.81647, 600, 4, 100,Quadratico
9.784414, 600, 4, 100,Quadratico
6.051015, 600, 8, 100,Quadratico
5.919689, 600, 8, 100,Quadratico
5.921497, 600, 8, 100,Quadratico
5.936755, 600, 8, 100,Quadratico
5.897724, 600, 8, 100,Quadratico
5.844246, 600, 8, 100,Quadratico
5.887666, 600, 8, 100,Quadratico
5.985326, 600, 8, 100,Quadratico
5.838649, 600, 8, 100,Quadratico
6.172991, 600, 8, 100,Quadratico
6.105335, 600, 8, 100,Quadratico
5.875998, 600, 8, 100,Quadratico
5.741789, 600, 8, 100,Quadratico
6.234128, 600, 8, 100,Quadratico
5.85076, 600, 8, 100,Quadratico
5.8123, 600, 8, 100,Quadratico
5.979088, 600, 8, 100,Quadratico
5.869971, 600, 8, 100,Quadratico
5.894853, 600, 8, 100,Quadratico
5.993642, 600, 8, 100,Quadratico
5.924629, 600, 8, 100,Quadratico
5.952221, 600, 8, 100,Quadratico
5.997805, 600, 8, 100,Quadratico
5.93033, 600, 8, 100,Quadratico
5.912087, 600, 8, 100,Quadratico
5.951041, 600, 8, 100,Quadratico
5.995862, 600, 8, 100,Quadratico
5.966838, 600, 8, 100,Quadratico
5.993207, 600, 8, 100,Quadratico
5.811474, 600, 8, 100,Quadratico
5.985003, 600, 8, 100,Quadratico
5.922169, 600, 8, 100,Quadratico
5.986747, 600, 8, 100,Quadratico
5.981015, 600, 8, 100,Quadratico
5.976852, 600, 8, 100,Quadratico
5.964873, 600, 8, 100,Quadratico
6.057162, 600, 8, 100,Quadratico
5.940616, 600, 8, 100,Quadratico
5.911317, 600, 8, 100,Quadratico
5.931268, 600, 8, 100,Quadratico
5.873832, 600, 8, 100,Quadratico
5.852236, 600, 8, 100,Quadratico
5.965063, 600, 8, 100,Quadratico
5.788481, 600, 8, 100,Quadratico
5.873554, 600, 8, 100,Quadratico
6.028526, 600, 8, 100,Quadratico
5.934641, 600, 8, 100,Quadratico
5.970856, 600, 8, 100,Quadratico
5.976998, 600, 8, 100,Quadratico
6.039372, 600, 8, 100,Quadratico
5.362505, 600, 16, 100,Quadratico
5.414398, 600, 16, 100,Quadratico
5.586676, 600, 16, 100,Quadratico
4.665197, 600, 16, 100,Quadratico
5.628189, 600, 16, 100,Quadratico
5.528329, 600, 16, 100,Quadratico
4.747636, 600, 16, 100,Quadratico
5.477041, 600, 16, 100,Quadratico
5.304989, 600, 16, 100,Quadratico
5.393475, 600, 16, 100,Quadratico
5.218252, 600, 16, 100,Quadratico
5.366803, 600, 16, 100,Quadratico
5.349253, 600, 16, 100,Quadratico
4.46252, 600, 16, 100,Quadratico
5.544854, 600, 16, 100,Quadratico
5.348112, 600, 16, 100,Quadratico
5.332978, 600, 16, 100,Quadratico
5.726568, 600, 16, 100,Quadratico
4.510658, 600, 16, 100,Quadratico
5.278416, 600, 16, 100,Quadratico
5.411333, 600, 16, 100,Quadratico
5.53725, 600, 16, 100,Quadratico
4.451828, 600, 16, 100,Quadratico
5.397845, 600, 16, 100,Quadratico
5.263782, 600, 16, 100,Quadratico
5.575867, 600, 16, 100,Quadratico
5.446864, 600, 16, 100,Quadratico
5.720008, 600, 16, 100,Quadratico
5.288671, 600, 16, 100,Quadratico
